session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
1pm,FALSE,1,1,6,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,48.324,1.046
1pm,FALSE,1,1,7,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,54.589,2.838
1pm,FALSE,1,1,7,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,52.541,0.79
1pm,FALSE,1,1,8,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,58.198,1.289
1pm,FALSE,1,1,8,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,58.254,1.345
1pm,FALSE,1,1,9,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,61.204,0.79
1pm,FALSE,1,1,9,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,61.721,1.307
1pm,FALSE,1,1,10,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,66.314,3.123
1pm,FALSE,1,1,10,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,64.767,1.576
1pm,FALSE,1,1,1,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,23.887,23.925
1pm,FALSE,1,1,1,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,14.569,14.607
1pm,FALSE,1,1,2,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,29.384,3.978
1pm,FALSE,1,1,2,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,28.652,3.246
1pm,FALSE,1,1,3,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,34.717,3.525
1pm,FALSE,1,1,3,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,34.594,3.402
1pm,FALSE,1,1,4,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,39.46,3.172
1pm,FALSE,1,1,4,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,38.112,1.824
1pm,FALSE,1,1,5,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,44.597,2.647
1pm,FALSE,1,1,5,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,44.595,2.645
1pm,FALSE,1,1,6,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,48.504,1.524
1pm,FALSE,1,1,6,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,48.672,1.692
1pm,FALSE,1,1,7,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,54.415,2.738
1pm,FALSE,1,1,7,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,54.424,2.747
1pm,FALSE,1,1,8,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,59.196,2.134
1pm,FALSE,1,1,8,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,58.007,0.945
1pm,FALSE,1,1,9,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,62.349,0.992
1pm,FALSE,1,1,9,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,63.004,1.647
1pm,FALSE,1,1,10,xuFunjd8QnwCr9Q7o,Yi5onNEa2ZsPrMn2g,1,1,5,66.882,1.253
1pm,FALSE,1,1,10,xuFunjd8QnwCr9Q7o,guqhFmibsWFJpL8Fq,1,1,5,67.176,1.547
1pm,FALSE,1,1,1,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,21.556,21.579
1pm,TRUE,1,1,1,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,8.589,8.612
1pm,TRUE,1,1,2,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,28.211,6.489
1pm,FALSE,1,1,2,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,27.862,6.14
1pm,FALSE,1,1,3,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,32.439,1.908
1pm,TRUE,1,1,3,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,35.373,4.842
1pm,FALSE,1,1,4,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,39.574,2.66
1pm,TRUE,1,1,4,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,41.279,4.365
1pm,FALSE,1,1,5,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,47.83,1.718
1pm,TRUE,1,1,5,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,49.538,3.426
1pm,TRUE,1,1,6,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,55.165,3.501
1pm,FALSE,1,1,6,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,54.227,2.563
1pm,FALSE,1,1,7,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,61.171,1.981
1pm,TRUE,1,1,7,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,61.618,2.428
1pm,FALSE,1,1,8,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,65.154,0.965
1pm,TRUE,1,1,8,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,67.858,3.669
1pm,FALSE,1,1,9,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,72.066,0.75
1pm,TRUE,1,1,9,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,74.195,2.879
1pm,FALSE,1,1,10,6mzBce6A2bCZ9vdwE,dvhRkrMPQ9RCj4NNr,1,1,5,76.54,1.48
1pm,TRUE,1,1,10,6mzBce6A2bCZ9vdwE,2bqdZ89qdpa8PhJCg,1,1,5,77.934,2.874
1pm,FALSE,1,1,1,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,20.095,20.113
1pm,FALSE,1,1,1,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,9.685,9.703
1pm,FALSE,1,1,2,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,24.142,3.559
1pm,FALSE,1,1,2,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,26.769,6.186
1pm,FALSE,1,1,3,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,30.312,2.667
1pm,FALSE,1,1,3,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,29.761,2.116
1pm,FALSE,1,1,4,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,33.015,1.345
1pm,FALSE,1,1,4,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,32.973,1.303
1pm,FALSE,1,1,5,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,36.48,1.125
1pm,FALSE,1,1,5,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,36.238,0.883
1pm,FALSE,1,1,6,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,40.776,1.696
1pm,FALSE,1,1,6,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,40.828,1.748
1pm,FALSE,1,1,7,nJv5Wjpk4jaiwmFr5,xMn4fbXdSFQh8NKuJ,1,1,5,46.809,1.129
1pm,FALSE,1,1,7,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,46.755,1.075
1pm,FALSE,1,1,8,nJv5Wjpk4jaiwmFr5,XSxvHwwNwBfusdi6R,1,1,5,51.945,1.671
